X, Y, Z
-0.161586,-0.135852,-0.144213
-0.124221,-0.135913,-0.137203
-0.0721419,-0.13644,-0.13728
-0.0263807,-0.138908,-0.13201
0.0274966,-0.139936,-0.13388
0.0724538,-0.14098,-0.133258
0.125687,-0.133261,-0.136491
0.173342,-0.133698,-0.147117
-0.264638,-0.135,-0.1878
-0.223708,-0.138939,-0.180295
-0.172286,-0.141851,-0.177687
-0.125065,-0.145918,-0.175367
-0.0747084,-0.149812,-0.17568
-0.0248532,-0.154792,-0.175093
0.0249662,-0.156059,-0.175446
0.0751934,-0.157469,-0.175294
0.124649,-0.151341,-0.175203
0.174615,-0.146564,-0.17491
-0.326117,-0.0885732,-0.0925099
-0.274111,-0.0865303,-0.0889475
-0.223793,-0.0899093,-0.0906755
-0.174841,-0.0908475,-0.0860063
-0.123926,-0.095558,-0.082014
-0.0726579,-0.103626,-0.0817238
-0.0243805,-0.100311,-0.0785256
0.0252547,-0.106045,-0.0792508
0.0737225,-0.104831,-0.079625
0.12383,-0.0975515,-0.0821662
0.174842,-0.0963351,-0.0850855
-0.324533,-0.111982,-0.124394
-0.274802,-0.111874,-0.124978
-0.225199,-0.112602,-0.125225
-0.176572,-0.11863,-0.122143
-0.125812,-0.119375,-0.112815
-0.0778998,-0.124534,-0.115137
-0.0223141,-0.125193,-0.10821
0.0220065,-0.128145,-0.114566
0.0794271,-0.125982,-0.110191
0.12476,-0.124358,-0.121167
0.175172,-0.118169,-0.123058
-0.324595,-0.113926,-0.174691
-0.277126,-0.126015,-0.171176
-0.225314,-0.126697,-0.160719
-0.19337,-0.127683,-0.161788
0.11126,-0.12875,-0.151127
-0.279096,-0.0336876,-0.0492319
-0.214804,-0.038409,-0.045487
-0.172891,-0.043982,-0.0439447
-0.125184,-0.0495901,-0.0408854
-0.0735695,-0.0494909,-0.037544
-0.023488,-0.0541701,-0.0367296
0.0243547,-0.0552495,-0.0373043
0.0736838,-0.0510659,-0.0377978
0.122177,-0.0508691,-0.0402016
0.173232,-0.0410678,-0.043628
-0.324482,-0.0572451,-0.0716742
-0.273721,-0.0551646,-0.0667088
-0.225794,-0.0608227,-0.0663031
-0.175433,-0.0671663,-0.0611228
-0.126992,-0.0712858,-0.057217
-0.0807233,-0.0717956,-0.0582624
-0.0295729,-0.0755565,-0.0536134
0.0235765,-0.0755018,-0.054928
0.0791402,-0.0721664,-0.0549539
0.127525,-0.0713408,-0.0575281
0.174657,-0.0664856,-0.060594
-0.324557,0.000702381,-0.0454939
-0.271628,-0.00468838,-0.0411605
-0.225456,-0.00846124,-0.035235
-0.176748,-0.00487113,-0.0291357
-0.120016,-0.00246489,-0.0191237
-0.0795456,-0.00514412,-0.0182305
-0.0252155,-0.00436342,-0.0141013
0.0267436,-0.00654137,-0.0143148
0.0763794,-0.00549018,-0.0138779
0.125987,-0.00637424,-0.0168268
0.174941,-0.00561154,-0.0226266
-0.324315,-0.0201268,-0.0537959
-0.276387,-0.0273256,-0.0515536
-0.325496,0.0470425,-0.0280958
-0.276581,0.047616,-0.0217839
-0.222934,0.0474181,-0.0166348
-0.173865,0.0373453,-0.0105678
-0.139699,0.027148,-0.0093776
-0.0695374,0.0317117,-0.00641655
-0.0468012,0.0229474,-0.00513731
0.0181374,0.025136,-0.00309825
0.0966167,0.0211251,-0.00200084
0.127539,0.0221851,-0.00254797
0.167785,0.0268776,-0.00427246
-0.309281,0.0825232,-0.00809004
-0.26337,0.0758218,-0.0101629
-0.241236,0.0774367,-0.010033
