X, Y, Z
-0.931586,-0.135852,-0.144213
-0.894221,-0.135913,-0.137203
-0.842142,-0.13644,-0.13728
-0.796381,-0.138908,-0.13201
-0.742503,-0.139936,-0.13388
-0.697546,-0.140979,-0.133258
-0.644313,-0.133261,-0.136491
-0.596658,-0.133698,-0.147117
-1.03464,-0.135,-0.1878
-0.993709,-0.138939,-0.180295
-0.942286,-0.141851,-0.177687
-0.895065,-0.145918,-0.175367
-0.844708,-0.149812,-0.17568
-0.794853,-0.154792,-0.175093
-0.745034,-0.156059,-0.175446
-0.694807,-0.157469,-0.175294
-0.645351,-0.151341,-0.175203
-0.595385,-0.146564,-0.17491
-1.09612,-0.0885732,-0.0925099
-1.04411,-0.0865303,-0.0889475
-0.993793,-0.0899093,-0.0906755
-0.944841,-0.0908474,-0.0860063
-0.893926,-0.095558,-0.082014
-0.842658,-0.103626,-0.0817238
-0.79438,-0.100311,-0.0785256
-0.744745,-0.106045,-0.0792508
-0.696278,-0.104831,-0.079625
-0.64617,-0.0975514,-0.0821662
-0.595158,-0.096335,-0.0850855
-1.09453,-0.111982,-0.124394
-1.0448,-0.111874,-0.124978
-0.995199,-0.112602,-0.125225
-0.946572,-0.11863,-0.122143
-0.895812,-0.119375,-0.112815
-0.8479,-0.124534,-0.115137
-0.792314,-0.125193,-0.10821
-0.747993,-0.128145,-0.114566
-0.690573,-0.125982,-0.110191
-0.64524,-0.124358,-0.121167
-0.594828,-0.118169,-0.123058
-1.0946,-0.113926,-0.174691
-1.04713,-0.126015,-0.171176
-0.995314,-0.126697,-0.160719
-0.96337,-0.127683,-0.161788
-0.65874,-0.12875,-0.151127
-1.0491,-0.0336875,-0.0492319
-0.984804,-0.038409,-0.045487
-0.942891,-0.043982,-0.0439447
-0.895184,-0.0495901,-0.0408854
-0.84357,-0.0494909,-0.037544
-0.793488,-0.0541701,-0.0367296
-0.745645,-0.0552494,-0.0373043
-0.696316,-0.0510659,-0.0377978
-0.647823,-0.0508691,-0.0402016
-0.596768,-0.0410678,-0.043628
-1.09448,-0.0572451,-0.0716742
-1.04372,-0.0551645,-0.0667088
-0.995794,-0.0608227,-0.0663031
-0.945434,-0.0671663,-0.0611228
-0.896992,-0.0712858,-0.057217
-0.850723,-0.0717955,-0.0582624
-0.799573,-0.0755565,-0.0536134
-0.746424,-0.0755018,-0.054928
-0.69086,-0.0721664,-0.0549539
-0.642475,-0.0713408,-0.0575281
-0.595343,-0.0664856,-0.060594
-1.09456,0.000702424,-0.0454939
-1.04163,-0.00468834,-0.0411605
-0.995456,-0.00846119,-0.035235
-0.946748,-0.00487109,-0.0291357
-0.890016,-0.00246485,-0.0191237
-0.849546,-0.00514408,-0.0182305
-0.795216,-0.00436337,-0.0141013
-0.743256,-0.00654133,-0.0143148
-0.693621,-0.00549014,-0.0138779
-0.644013,-0.0063742,-0.0168268
-0.595059,-0.0056115,-0.0226266
-1.09431,-0.0201268,-0.0537959
-1.04639,-0.0273256,-0.0515536
-1.0955,0.0470425,-0.0280958
-1.04658,0.047616,-0.0217839
-0.992934,0.0474182,-0.0166348
-0.943865,0.0373453,-0.0105678
-0.909699,0.0271481,-0.0093776
-0.839537,0.0317117,-0.00641655
-0.816801,0.0229475,-0.00513731
-0.751863,0.025136,-0.00309825
-0.673383,0.0211251,-0.00200084
-0.642461,0.0221851,-0.00254797
-0.602215,0.0268777,-0.00427246
-1.07928,0.0825233,-0.00809004
-1.03337,0.0758218,-0.0101629
-1.01124,0.0774367,-0.010033
