X, Y, Z
-0.594828,-1.18579,-1.19415
-0.595059,-1.1928,-1.19409
-0.595158,-1.19272,-1.19356
-0.595343,-1.19799,-1.19109
-0.595385,-1.19612,-1.19006
-0.596658,-1.19674,-1.18902
-0.596768,-1.19351,-1.19674
-0.602215,-1.18288,-1.1963
-0.642461,-1.1422,-1.195
-0.642475,-1.1497,-1.19106
-0.644013,-1.15231,-1.18815
-0.644313,-1.15463,-1.18408
-0.64524,-1.15432,-1.18019
-0.645351,-1.15491,-1.17521
-0.64617,-1.15455,-1.17394
-0.647823,-1.15471,-1.17253
-0.65874,-1.1548,-1.17866
-0.673383,-1.15509,-1.18344
-0.690573,-1.23749,-1.24143
-0.69086,-1.24105,-1.24347
-0.693621,-1.23932,-1.24009
-0.694807,-1.24399,-1.23915
-0.696278,-1.24799,-1.23444
-0.696316,-1.24828,-1.22637
-0.697546,-1.25147,-1.22969
-0.742503,-1.25075,-1.22396
-0.743256,-1.25038,-1.22517
-0.744745,-1.24783,-1.23245
-0.745034,-1.24491,-1.23366
-0.745645,-1.20561,-1.21802
-0.746424,-1.20502,-1.21813
-0.747993,-1.20477,-1.2174
-0.751863,-1.20786,-1.21137
-0.792314,-1.21718,-1.21063
-0.793488,-1.21486,-1.20547
-0.79438,-1.22179,-1.20481
-0.794853,-1.21543,-1.20186
-0.795216,-1.21981,-1.20402
-0.796381,-1.20883,-1.20564
-0.799573,-1.20694,-1.21183
-0.816801,-1.15531,-1.21607
-0.839537,-1.15882,-1.20398
-0.842142,-1.16928,-1.2033
-0.842658,-1.16821,-1.20232
-0.84357,-1.17887,-1.20125
-0.844708,-1.28077,-1.29631
-0.8479,-1.28451,-1.29159
-0.849546,-1.28606,-1.28602
-0.850723,-1.28911,-1.28041
-0.890016,-1.29246,-1.28051
-0.893926,-1.29327,-1.27583
-0.894221,-1.2927,-1.27475
-0.895065,-1.2922,-1.27893
-0.895184,-1.2898,-1.27913
-0.895812,-1.28637,-1.28893
-0.896992,-1.25833,-1.27275
-0.909699,-1.26329,-1.27484
-0.931586,-1.2637,-1.26918
-0.942286,-1.26888,-1.26283
-0.942891,-1.27278,-1.25871
-0.943865,-1.27174,-1.2582
-0.944841,-1.27639,-1.25444
-0.945434,-1.27507,-1.2545
-0.946572,-1.27505,-1.25783
-0.946748,-1.27247,-1.25866
-0.96337,-1.26941,-1.26351
-0.984804,-1.28451,-1.3307
-0.992934,-1.28884,-1.32531
-0.993709,-1.29476,-1.32154
-0.993793,-1.30086,-1.32513
-0.995199,-1.31088,-1.32754
-0.995314,-1.31177,-1.32486
-0.995456,-1.3159,-1.32564
-0.995794,-1.31569,-1.32346
-1.01124,-1.31612,-1.32451
-1.03337,-1.31317,-1.32363
-1.03464,-1.30737,-1.32439
-1.04163,-1.2762,-1.30987
-1.04372,-1.27845,-1.30267
-1.04411,-1.3019,-1.37704
-1.0448,-1.30822,-1.37762
-1.04639,-1.31337,-1.37742
-1.04658,-1.31943,-1.36735
-1.04713,-1.32062,-1.35715
-1.0491,-1.32358,-1.36171
-1.07928,-1.32486,-1.35295
-1.09431,-1.3269,-1.35514
-1.09448,-1.328,-1.35113
-1.09453,-1.32745,-1.35219
-1.09456,-1.32573,-1.35688
-1.0946,-1.32191,-1.41252
-1.0955,-1.31984,-1.40582
-1.09612,-1.31997,-1.40744
