X, Y, Z
-0.399016,-0.387956,0.684952
-0.399184,-0.385345,0.683419
-0.0522939,-0.585183,0.668363
-0.0466003,-0.584824,0.668189
-0.0802049,-0.593337,0.676888
-0.0740579,-0.591219,0.676803
-0.0650617,-0.589539,0.676261
-0.0562088,-0.586793,0.672512
-0.0427434,-0.58644,0.673074
-0.0356355,-0.589459,0.675127
-0.0289448,-0.592811,0.676725
-0.0630447,-0.585385,0.679407
-0.0551787,-0.584651,0.677785
-0.0465742,-0.585804,0.676691
-0.0921936,-0.596102,0.68502
-0.0850697,-0.592663,0.681757
-0.0762082,-0.59002,0.679804
-0.0691731,-0.588816,0.679598
-0.0334065,-0.590443,0.681791
-0.0261645,-0.594551,0.683754
-0.0835331,-0.586924,0.687413
-0.0748449,-0.584554,0.684944
-0.0658361,-0.582693,0.683848
-0.0543398,-0.581946,0.684536
-0.0454573,-0.585873,0.685737
-0.0360048,-0.588666,0.686561
-0.0290307,-0.590303,0.687996
-0.0735377,-0.580119,0.691236
-0.0643367,-0.578429,0.690364
-0.0553477,-0.578037,0.689893
-0.0492762,-0.580805,0.691736
-0.101201,-0.605173,0.692496
-0.0988657,-0.603,0.688802
-0.0202657,-0.601116,0.685763
-0.0155116,-0.604301,0.69085
-0.100355,-0.600053,0.695271
-0.0964923,-0.59682,0.691296
-0.0225616,-0.596093,0.69103
-0.0181305,-0.600605,0.691574
-0.0926572,-0.590509,0.695508
-0.0866389,-0.585687,0.694031
-0.0431201,-0.585212,0.694465
-0.0351576,-0.587491,0.695049
-0.0274472,-0.590792,0.69469
-0.0832123,-0.582662,0.699237
-0.0751064,-0.57998,0.697972
-0.0653701,-0.577676,0.698462
-0.0547937,-0.577836,0.698346
-0.0466139,-0.581679,0.698454
-0.104627,-0.609047,0.698582
-0.0116034,-0.606888,0.696787
-0.00867071,-0.607873,0.697518
-0.103107,-0.6006,0.7015
-0.0995318,-0.596189,0.700326
-0.021148,-0.597195,0.700451
-0.0154617,-0.602389,0.701064
-0.00878705,-0.605005,0.700736
-0.101029,-0.595943,0.706269
-0.0957379,-0.591136,0.704577
-0.0898073,-0.585885,0.701948
-0.0337118,-0.58798,0.705075
-0.0254678,-0.592283,0.704754
-0.0917274,-0.586279,0.708899
-0.0849458,-0.582101,0.707883
-0.0751229,-0.579194,0.707486
-0.0654974,-0.580021,0.708761
-0.0549629,-0.5806,0.708602
-0.0450064,-0.58362,0.707451
-0.0389588,-0.586904,0.707382
-0.080757,-0.57824,0.713422
-0.0756291,-0.577508,0.71228
-0.121629,-0.621397,0.709242
-0.117304,-0.620597,0.708558
-0.112709,-0.616182,0.708966
-0.108327,-0.612119,0.7055
-0.1111,-0.607712,0.713395
-0.107798,-0.6035,0.710034
-0.0146324,-0.603688,0.710799
-0.00929191,-0.606563,0.712513
-0.104389,-0.595028,0.714514
-0.0984729,-0.590941,0.712542
-0.033242,-0.589229,0.711772
-0.0245978,-0.593336,0.71393
-0.0192799,-0.598954,0.713458
-0.101703,-0.590709,0.719347
-0.0946133,-0.587261,0.717545
-0.0877124,-0.58233,0.717042
-0.0642889,-0.58194,0.717751
-0.0552791,-0.583326,0.718681
-0.0443162,-0.585462,0.717633
-0.0356793,-0.589292,0.717134
-0.0292348,-0.590915,0.718208
-0.0839348,-0.579483,0.720567
-0.0748638,-0.578049,0.720318
-0.0670607,-0.580701,0.722033
-0.13222,-0.626525,0.716599
-0.126268,-0.622765,0.712969
-0.119096,-0.620506,0.710631
-0.130324,-0.619383,0.720617
-0.124357,-0.618174,0.717558
-0.116956,-0.615841,0.714864
-0.113939,-0.608568,0.720073
-0.109382,-0.602249,0.717276
-0.0127858,-0.604994,0.718749
-0.00934912,-0.606636,0.718233
-0.112073,-0.599168,0.72425
-0.108741,-0.595499,0.721329
-0.0238681,-0.596753,0.723783
-0.0171067,-0.601998,0.722348
-0.104064,-0.590547,0.726411
-0.0961846,-0.586951,0.726764
-0.0608098,-0.583079,0.724253
-0.0535493,-0.585012,0.726742
-0.0452178,-0.58665,0.727505
-0.0352803,-0.589883,0.726109
-0.0294123,-0.593442,0.726068
-0.0926891,-0.583336,0.730706
-0.0849676,-0.58006,0.730266
-0.0748542,-0.578539,0.730751
-0.0649533,-0.581078,0.72933
-0.0569872,-0.583812,0.729952
-0.163843,-0.632596,0.725136
-0.155457,-0.632636,0.723493
-0.14416,-0.630045,0.723337
-0.136527,-0.627668,0.721274
-0.141311,-0.623009,0.728279
-0.135146,-0.619726,0.724577
-0.12572,-0.615497,0.723574
-0.132938,-0.615679,0.72966
-0.124279,-0.613714,0.729647
-0.117859,-0.610006,0.727518
-0.120675,-0.607792,0.735478
-0.115844,-0.601838,0.732835
-0.0238456,-0.600392,0.733502
-0.0160015,-0.606006,0.732258
-0.111229,-0.596001,0.736577
-0.105682,-0.590748,0.736005
-0.0990359,-0.587309,0.73371
-0.0507221,-0.586803,0.734071
-0.0451966,-0.58925,0.737009
-0.0343547,-0.59291,0.736185
-0.0283514,-0.59669,0.735998
-0.101776,-0.586506,0.739554
-0.094929,-0.583272,0.73869
-0.0852973,-0.580176,0.740191
-0.0748393,-0.579377,0.740399
-0.0651032,-0.581915,0.740264
-0.0553252,-0.585824,0.738596
-0.0809786,-0.579815,0.74566
-0.397314,-0.299483,0.846465
-0.398687,-0.296933,0.848355
-0.175902,-0.640303,0.73134
-0.172763,-0.634981,0.73241
-0.165621,-0.631734,0.731914
-0.154903,-0.634052,0.73244
-0.14767,-0.630994,0.731257
-0.150114,-0.628225,0.738682
-0.145143,-0.623795,0.735538
-0.139841,-0.618957,0.733542
-0.141242,-0.617615,0.740989
-0.134749,-0.616074,0.739631
-0.12652,-0.612604,0.738759
-0.143225,-0.606104,0.744977
-0.138573,-0.608576,0.745327
-0.123028,-0.607601,0.74319
-0.117655,-0.602569,0.742253
-0.022318,-0.602623,0.741584
-0.0172015,-0.607686,0.743051
-0.113228,-0.597606,0.745409
-0.108254,-0.592832,0.746744
-0.0443821,-0.592713,0.746969
-0.0347028,-0.594806,0.745684
-0.0259497,-0.597656,0.744636
-0.103586,-0.588831,0.74815
-0.0948805,-0.584589,0.749523
-0.0866637,-0.581883,0.749535
-0.0738444,-0.580883,0.747476
-0.0638413,-0.583013,0.749358
-0.055463,-0.588021,0.748662
-0.049262,-0.591267,0.748764
-0.0828698,-0.581772,0.752093
-0.0754328,-0.581767,0.75231
-0.0677636,-0.582242,0.753442
-0.397945,-0.303051,0.848523
-0.398725,-0.297497,0.853936
-0.183309,-0.645354,0.738943
-0.178734,-0.641888,0.736547
-0.180594,-0.64209,0.741085
-0.177609,-0.638438,0.738069
-0.163629,-0.633177,0.741983
-0.1563,-0.633811,0.740575
-0.16523,-0.632152,0.745501
-0.153899,-0.629283,0.745464
-0.148173,-0.624197,0.743341
-0.151206,-0.618398,0.751908
-0.14502,-0.617919,0.746394
